TEAM,MATCHES,TRIES/MATCH,POINTS/MATCH,PASSES/MATCH,SEC/PASS,Seconds/TRY,POSS/MATCH,POSS_PCT,OPP/POSS/MATCH,POINTS/CONCEDED,TRIES/CONCEDED
NZL,54,4.4,27.8,35.9,6.8,56,4:04,0.53,3:34,7.9,1.30
RSA,53,3.8,23.2,27.7,8,59,3:41,0.52,3:21,10.6,1.70
FIJ,54,4.3,27.1,28.9,7,47,3:23,0.48,3:39,11.8,1.90
ENG,54,3.4,22.3,30.6,7,64,3:35,0.52,3:21,12.6,2.10
AUS,53,3.4,21.2,36.7,6.4,69,3:55,0.52,3:33,14.3,2.20
CAN,51,3,18.2,31.7,7.1,76,3:45,0.53,3:21,17.3,2.80
KEN,51,2.5,15.4,27.7,7.7,85,3:33,0.5,3:33,18,2.90
SAM,48,2.7,16.8,37.4,5.9,82,3:41,0.54,3:10,18.5,2.90
ARG,50,2.5,16,26,7.8,81,3:22,0.49,3:31,17.7,2.90
FRA,50,2.6,16.7,33.5,6.4,82,3:46,0.49,3:46,18.8,3.00
WAL,49,2.8,17.6,35,6.5,80,3:48,0.53,3:21,22.2,3.40
SCO,50,2.7,17.1,38.2,6.2,88,3:56,0.53,3:29,17.4,2.80
USA,50,2.4,15.2,28.8,7.6,90,3:40,0.51,3:36,20.6,3.40
POR,48,1.6,10.6,27.7,7.3,123,3:22,0.49,3:27,28.4,4.50
ESP,48,1.7,10.1,30.3,6.8,124,3:27,0.48,3:43,26.7,4.20
JPN,17,2.1,13.6,40.5,5.6,108,3:48,0.51,3:38,27.6,4.40
