ATTEMPT,TOURNAMENT,MATCH,HALF,OPP,NUMBER,PLAYER,DIR,RESULT,NOTE
1,London,2,1,FRA,3,Barrett,7,1,PF
2,London,2,1,FRA,3,Barrett,6,1,PF
3,London,2,1,FRA,4,Bender,9,1,poach
4,London,2,1,FRA,6,Duratalo,1,0,
5,London,2,1,FRA,6,Duratalo,3,1,
6,London,2,1,FRA,7,Niua,1,0,
7,London,2,1,FRA,7,Niua,1,0,
8,London,2,1,FRA,8,Unufe,6,0,
9,London,2,2,FRA,3,Barrett,12,1,PA
10,London,2,2,FRA,3,Barrett,9,1,
11,London,2,2,FRA,4,Bender,5,0,
12,London,2,2,FRA,4,Bender,5,1,
13,London,2,2,FRA,10,Hughes,1,1,PA
14,London,2,2,FRA,1,Isles,2,0,
15,London,2,2,FRA,1,Isles,7,0,
16,London,2,2,FRA,7,Niua,1,1,
17,London,2,2,FRA,7,Niua,1,0,
18,London,2,2,FRA,8,Unufe,8,1,TRY
19,London,2,2,FRA,8,Unufe,7,0,
20,London,2,2,FRA,8,Unufe,7,0,
21,London,10,1,POR,11,Baker,2,0,
22,London,10,1,POR,11,Baker,11,1,
23,London,10,1,POR,11,Baker,3,0,
24,London,10,1,POR,4,Bender,5,1,touch
25,London,10,1,POR,4,Bender,2,1,touch
26,London,10,1,POR,10,Hughes,5,1,
27,London,10,1,POR,10,Hughes,10,1,
28,London,10,1,POR,2,Leuta,2,1,
29,London,10,1,POR,2,Leuta,11,1,
30,London,10,1,POR,2,Leuta,3,0,
31,London,10,1,POR,7,Niua,12,1,
32,London,10,1,POR,7,Niua,11,0,
33,London,10,1,POR,8,Unufe,5,1,
34,London,10,2,POR,11,Baker,2,1,
35,London,10,2,POR,11,Baker,2,0,
36,London,10,2,POR,11,Baker,10,0,
37,London,10,2,POR,4,Bender,2,1,
38,London,10,2,POR,10,Hughes,12,1,PA
39,London,10,2,POR,2,Leuta,11,1,
40,London,18,1,RSA,11,Baker,5,1,touch
41,London,18,1,RSA,3,Barrett,6,0,
42,London,18,1,RSA,6,Duratalo,8,0,
43,London,18,1,RSA,10,Hughes,1,1,PA
44,London,18,1,RSA,8,Unufe,5,0,
45,London,18,2,RSA,3,Barrett,2,1,PF
46,London,18,2,RSA,4,Bender,10,1,
47,London,18,2,RSA,4,Bender,11,1,poach
48,London,18,2,RSA,4,Bender,7,1,PA
49,London,18,2,RSA,6,Duratalo,7,1,poach
50,London,18,2,RSA,10,Hughes,1,0,
51,London,18,2,RSA,10,Hughes,11,1,
52,London,18,2,RSA,7,Niua,2,1,
53,London,18,2,RSA,7,Niua,11,0,
54,London,18,2,RSA,8,Unufe,10,1,
55,London,31,1,CAN,11,Baker,1,1,
56,London,31,1,CAN,3,Barrett,6,1,
57,London,31,1,CAN,3,Barrett,4,1,TRY
58,London,31,1,CAN,4,Bender,9,1,
59,London,31,1,CAN,4,Bender,11,1,poach
60,London,31,1,CAN,10,Hughes,12,1,
61,London,31,1,CAN,8,Unufe,5,1,
62,London,31,1,CAN,8,Unufe,1,1,
63,London,31,1,CAN,8,Unufe,2,0,
64,London,31,1,CAN,8,Unufe,10,1,PF
65,London,31,2,CAN,3,Barrett,12,1,PA
66,London,31,2,CAN,4,Bender,1,1,
67,London,31,2,CAN,6,Duratalo,12,1,
68,London,31,2,CAN,6,Duratalo,2,1,
69,London,31,2,CAN,10,Hughes,9,1,touch
70,London,31,2,CAN,12,Iosefo,5,0,
71,London,31,2,CAN,1,Isles,4,1,touch
72,London,31,2,CAN,2,Leuta,1,1,
73,London,31,2,CAN,2,Leuta,12,0,
74,London,31,2,CAN,2,Leuta,2,1,PF
75,London,31,2,CAN,7,Niua,12,0,
76,London,40,1,ENG,11,Baker,7,1,TRY
77,London,40,1,ENG,10,Hughes,7,1,poach
78,London,40,1,ENG,10,Hughes,10,0,
79,London,40,2,ENG,9,Ausberger,5,1,
80,London,40,2,ENG,9,Ausberger,5,1,
81,London,40,2,ENG,9,Ausberger,1,1,
82,London,40,2,ENG,11,Baker,2,0,
83,London,40,2,ENG,1,Isles,5,0,
84,London,40,2,ENG,1,Isles,6,1,
85,London,40,2,ENG,1,Isles,4,1,knock
86,London,40,2,ENG,2,Leuta,5,0,
87,London,40,2,ENG,2,Leuta,9,1,
88,London,40,2,ENG,7,Niua,11,0,
89,London,40,2,ENG,7,Niua,12,0,
90,London,40,2,ENG,5,Palamo,12,1,
91,London,40,2,ENG,5,Palamo,11,0,
92,London,45,1,AUS,3,Barrett,2,0,
93,London,45,1,AUS,6,Duratalo,9,0,
94,London,45,1,AUS,2,Leuta,3,0,TRY
95,London,45,1,AUS,7,Niua,1,1,
96,London,45,1,AUS,8,Unufe,11,1,
97,London,45,1,AUS,8,Unufe,11,1,PA
98,London,45,1,AUS,8,Unufe,12,0,
99,London,45,2,AUS,9,Ausberger,2,0,TRY
100,London,45,2,AUS,9,Ausberger,3,1,
101,London,45,2,AUS,3,Barrett,7,1,
102,London,45,2,AUS,3,Barrett,4,1,
103,London,45,2,AUS,6,Duratalo,9,0,
104,London,45,2,AUS,6,Duratalo,11,0,
105,London,45,2,AUS,10,Hughes,10,1,PF
106,London,45,2,AUS,10,Hughes,11,0,
107,London,45,2,AUS,10,Hughes,10,1,
108,London,45,2,AUS,12,Iosefo,12,1,PA
109,London,45,2,AUS,12,Iosefo,10,1,
110,London,45,2,AUS,1,Isles,11,0,
111,London,45,2,AUS,1,Isles,1,1,
112,London,45,2,AUS,1,Isles,1,1,
113,London,45,2,AUS,2,Leuta,10,1,
114,London,45,2,AUS,7,Niua,3,0,
115,London,45,2,AUS,7,Niua,11,0,
