SERIES.MATCH,EVENT,MATCH,ROUND,HALF,POSS,TEAM,OPP,SOURCE,START,END,LOST,SOURCE NOTE,LOST NOTE
1,GC7s,1,Pool,1,1,ARG,ENG,PK,5,5,Kick,PK: illegal ctc on restart by kicking team,Kick: PK missed touch
1,GC7s,1,Pool,1,2,ENG,ARG,Kick,2,3,Kick,,
1,GC7s,1,Pool,1,3,ARG,ENG,Kick,12,12,HE,,HE: knock on
1,GC7s,1,Pool,1,4,ENG,ARG,Intercept,4,5,Intercepted,,
1,GC7s,1,Pool,1,5,ARG,ENG,Intercept,11,14,TRY,,TRY: converted
1,GC7s,1,Pool,1,6,ENG,ARG,Restart,5,8,HE,,HE: knock on
1,GC7s,1,Pool,1,7,ARG,ENG,PK,8,14,HE,PK: wheeled scrum,HE: knock on
1,GC7s,1,Pool,1,8,ENG,ARG,Scrum,2,14,TRY,,TRY: converted
1,GC7s,1,Pool,1,9,ARG,ENG,Restart,5,8,PEN,,PEN: not releasing
1,GC7s,1,Pool,1,10,ENG,ARG,PK,8,7,Kick,PK: bc not releasing,
1,GC7s,1,Pool,1,11,ARG,ENG,Kick,3,3,Kicked to touch,,
1,GC7s,1,Pool,2,12,ARG,ENG,Reclaim,11,11,Intercepted,,
1,GC7s,1,Pool,2,13,ENG,ARG,Intercept,2,5,PEN,,PEN: pulling defender off feet
1,GC7s,1,Pool,2,14,ARG,ENG,PK,11,14,TRY,PK: pulling defender off feet,TRY: converted
1,GC7s,1,Pool,2,15,ENG,ARG,Restart,6,15,TRY,,
1,GC7s,1,Pool,2,16,ARG,ENG,Restart,4,2,Kick,,
1,GC7s,1,Pool,2,17,ENG,ARG,Kick,2,5,PEN,,PEN: not releasing
1,GC7s,1,Pool,2,18,ARG,ENG,PK,11,15,TRY,PK: bc not releasing,TRY: converted
1,GC7s,1,Pool,2,19,ENG,ARG,Restart,3,14,TRY,,TRY: converted
1,GC7s,1,Pool,2,20,ARG,ENG,Restart,8,8,Kicked to touch,,
2,GC7s,2,Pool,1,1,USA,CAN,Restart,5,8,Poached,,
2,GC7s,2,Pool,1,2,CAN,USA,Poach,11,13,HE,,HE: forward pass
2,GC7s,2,Pool,1,3,USA,CAN,Scrum,3,3,Kick,,
2,GC7s,2,Pool,1,4,CAN,USA,Kick,8,15,Intercepted,,
2,GC7s,2,Pool,1,5,USA,CAN,Intercept,1,8,PEN,,PEN: bc not releasing
2,GC7s,2,Pool,1,6,CAN,USA,PK,8,11,Intercepted,,
2,GC7s,2,Pool,1,7,USA,CAN,Intercept,5,14,TRY,,TRY: converted
2,GC7s,2,Pool,1,8,CAN,USA,Restart,2,13,TRY,,
2,GC7s,2,Pool,2,9,USA,CAN,Reclaim,7,13,TRY,,
2,GC7s,2,Pool,2,10,CAN,USA,Line out,8,15,PEN,Line out: restart rolled to touch by kicking team,PEN: hands in the ruck
2,GC7s,2,Pool,2,11,USA,CAN,PK,1,2,PEN,PK: hands in the ruck,PEN: bc not releasing
2,GC7s,2,Pool,2,12,CAN,USA,PK,14,15,TRY,PK: bc not releasing,
2,GC7s,2,Pool,2,13,CAN,USA,Reclaim,8,15,TRY,,
2,GC7s,2,Pool,2,14,USA,CAN,Restart,5,9,Intercepted,,
2,GC7s,2,Pool,2,15,CAN,USA,Intercept,7,8,HE,,HE: knock on
2,GC7s,2,Pool,2,16,USA,CAN,Scrum,8,13,TRY,,
3,GC7s,3,Pool,1,1,FRA,NZL,Scrum,11,11,HE,Scrum: restart knocked by kicking team,HE: lost fwd in tackle
3,GC7s,3,Pool,1,2,NZL,FRA,Scrum,5,15,TRY,,
3,GC7s,3,Pool,1,3,FRA,NZL,Restart,4,15,Counter ruck,,
3,GC7s,3,Pool,1,4,NZL,FRA,Counter ruck,1,4,Intercepted,,
3,GC7s,3,Pool,1,5,FRA,NZL,Intercept,12,13,PEN,,PEN: bc not releasing
3,GC7s,3,Pool,1,6,NZL,FRA,PK,3,14,TRY,PK: bc not releasing,TRY: converted
3,GC7s,3,Pool,1,7,FRA,NZL,Restart,3,2,PEN,,PEN: bc not releasing
3,GC7s,3,Pool,1,8,NZL,FRA,PK,14,14,TRY,PK: bc not releasing,
3,GC7s,3,Pool,2,9,FRA,NZL,Restart,6,14,TRY,,TRY: converted
3,GC7s,3,Pool,2,10,NZL,FRA,FK,8,13,Intercepted,FK: restart direct to touch by kicking team,
3,GC7s,3,Pool,2,11,FRA,NZL,Intercept,3,2,PEN,,PEN: bc not releasing
3,GC7s,3,Pool,2,12,NZL,FRA,PK,14,14,TRY,PK: bc not releasing,TRY: converted
3,GC7s,3,Pool,2,13,FRA,NZL,Restart,6,5,PEN,,PEN: bc not releasing
3,GC7s,3,Pool,2,14,NZL,FRA,PK,11,13,TRY,PK: bc not releasing,TRY: converted
3,GC7s,3,Pool,2,15,NZL,FRA,Scrum,11,15,TRY,Scrum: restart knocked by receiving team,
4,GC7s,4,Pool,1,1,JPN,SAM,Restart,2,14,TRY,,TRY: converted
4,GC7s,4,Pool,1,2,JPN,SAM,Scrum,11,8,Intercepted,Scrum: restart knocked by receiving team,
4,GC7s,4,Pool,1,3,SAM,JPN,Intercept,8,14,TRY,,TRY: converted
4,GC7s,4,Pool,1,4,JPN,SAM,Restart,5,5,Intercepted,,
4,GC7s,4,Pool,1,5,SAM,JPN,Intercept,11,14,TRY,,TRY: converted
4,GC7s,4,Pool,1,6,JPN,SAM,Restart,5,8,HE,,HE: knock on
4,GC7s,4,Pool,1,7,SAM,JPN,Scrum,8,8,Kick,,
4,GC7s,4,Pool,1,8,JPN,SAM,Kick,1,11,Counter ruck,,
4,GC7s,4,Pool,1,9,SAM,JPN,Counter ruck,5,14,TRY,,TRY: converted
4,GC7s,4,Pool,2,10,JPN,SAM,Reclaim,10,11,PEN,,PEN: bc not releasing
4,GC7s,4,Pool,2,11,SAM,JPN,PK,5,14,TRY,PK: bc not releasing,TRY: converted
4,GC7s,4,Pool,2,12,JPN,SAM,Restart,6,5,Poached,,Poached: lost in standing tackle
4,GC7s,4,Pool,2,13,SAM,JPN,Poach,11,15,TRY,,
4,GC7s,4,Pool,2,14,JPN,SAM,Restart,5,9,Poached,,
4,GC7s,4,Pool,2,15,SAM,JPN,Poach,7,7,HE,,HE: knock on
4,GC7s,4,Pool,2,16,JPN,SAM,FK,9,11,Poached,FK: illegal bind on scrum,
4,GC7s,4,Pool,2,17,SAM,JPN,Poach,5,14,TRY,,TRY: converted
4,GC7s,4,Pool,2,18,JPN,SAM,Restart,6,14,TRY,,TRY: converted
5,GC7s,5,Pool,1,1,RSA,WAL,Restart,7,15,Counter ruck,,
5,GC7s,5,Pool,1,2,WAL,RSA,Counter ruck,1,13,Tackled to touch,,
5,GC7s,5,Pool,1,3,RSA,WAL,Line out,3,2,Kicked to touch,,
5,GC7s,5,Pool,1,4,WAL,RSA,Line out,7,8,Poached,,
5,GC7s,5,Pool,1,5,RSA,WAL,Poach,8,15,Line out infraction,,Line out: not straight
5,GC7s,5,Pool,1,6,WAL,RSA,Scrum,1,2,PEN,,PEN: fwd to teammate
5,GC7s,5,Pool,1,7,RSA,WAL,PK,14,14,PT,PK: fwd to teammate in offside position,PT: deliberate knock on in goal; TRY: converted
5,GC7s,5,Pool,1,8,WAL,RSA,Restart,1,2,Kick,,
5,GC7s,5,Pool,1,9,RSA,WAL,Kick,4,4,Kick,,
5,GC7s,5,Pool,1,10,WAL,RSA,Kick,6,12,HE,,HE: knock on
5,GC7s,5,Pool,1,11,RSA,WAL,Scrum,4,5,Kick,,
5,GC7s,5,Pool,1,12,WAL,RSA,Kick,1,8,Poached,,
5,GC7s,5,Pool,1,13,RSA,WAL,Poach,8,14,TRY,,TRY: converted
5,GC7s,5,Pool,2,14,WAL,RSA,Restart,1,14,TRY,,TRY: converted
5,GC7s,5,Pool,2,15,RSA,WAL,Restart,6,14,TRY,,
5,GC7s,5,Pool,2,16,WAL,RSA,FK,8,14,TRY,FK: restart not 10 by kicking team,
5,GC7s,5,Pool,2,17,RSA,WAL,Restart,4,4,PEN,,PEN: bc not releasing
5,GC7s,5,Pool,2,18,WAL,RSA,PK,12,13,PEN,PK: bc not releasing,PEN: bc not releasing
5,GC7s,5,Pool,2,19,RSA,WAL,PK,1,8,Intercepted,PK: bc not releasing,
5,GC7s,5,Pool,2,20,WAL,RSA,Intercept,8,8,HE,,HE: knock on
6,GC7s,6,Pool,1,1,KEN,ASM,Scrum,8,14,TRY,Scrum: restart knocked by kicking team,TRY: converted
6,GC7s,6,Pool,1,2,KEN,ASM,PK,11,14,Intercepted,PK: fwd to teammate in offside position,
