MATCH,HALF,POSS,TEAM,OPP,SOURCE,START,END,LOST,SOURCE NOTE,LOST NOTE,,,,,,
1,1,1,ARG,ENG,PK,5,5,Kick,"PK: restart infraction, ctc with man in air",Kick: PK missed touch,,,,,,
1,1,2,ENG,ARG,Kick,2,3,Kick,,,,,,,,
1,1,3,ARG,ENG,Kick,12,12,HE,,HE: knock on,,,,,,
1,1,4,ENG,ARG,Intercept,4,5,Intercept,,,,,,,,
1,1,5,ARG,ENG,Intercept,11,14,TRY,,TRY: converted,,,,,,
1,1,6,ENG,ARG,Restart,5,8,HE,,HE: knock on,,,,,,
1,1,7,ARG,ENG,PK,8,14,HE,PK: wheeled scrum,HE: knock on,,,,,,
1,1,8,ENG,ARG,Scrum,2,14,TRY,,TRY: converted,,,,,,
1,1,9,ARG,ENG,Restart,5,8,PEN,,PEN: not releasing,,,,,,
1,1,10,ENG,ARG,PK,8,7,Kick,PK: ball carrier not releasing,,,,,,,
1,1,11,ARG,ENG,Kick,3,3,Kick to touch,,,,,,,,
1,2,12,ARG,ENG,Reclaim,11,11,Intercept,,,,,,,,
1,2,13,ENG,ARG,Intercept,2,5,PEN,,PEN: pulling defender off feet,,,,,,
1,2,14,ARG,ENG,PK,11,14,TRY,PK: pulling defender off feet,TRY: converted,,,,,,
1,2,15,ENG,ARG,Restart,6,15,TRY,,,,,,,,
1,2,16,ARG,ENG,Restart,4,2,Kick,,,,,,,,
1,2,17,ENG,ARG,Kick,2,5,PEN,,PEN: not releasing,,,,,,
1,2,18,ARG,ENG,PK,11,15,TRY,PK: ball carrier not releasing,TRY: converted,,,,,,
1,2,19,ENG,ARG,Restart,3,14,TRY,,TRY: converted,,,,,,
1,2,20,ARG,ENG,Restart,8,8,Kick to touch,,,,,,,,
2,1,1,USA,CAN,Restart,5,8,Poached,,,,,,,,
2,1,2,CAN,USA,Poach,11,13,HE,,HE: forward pass,,,,,,
2,1,3,USA,CAN,Scrum,3,3,Kick,,,,,,,,
