MATCH,HALF,TEAM,OPP,TYPE,LOCATION,RETAINED,NOTE
1,1,ENG,ARG,Restart,11,No,PEN: illegal ctc with receiver
1,1,ARG,ENG,PK,5,No,"Kicked, did not find touch"
1,1,ARG,ENG,Restart,11,No,
1,1,ARG,ENG,Scrum,11,Yes,Scrum: knock on
1,1,ARG,ENG,PK,11,Yes,PEN: kicked to touch
1,1,ARG,ENG,Line out,13,Yes,
1,1,ARG,ENG,Scrum,13,Yes,Scrum: knock on
1,1,ENG,ARG,Scrum,2,Yes,
1,1,ENG,ARG,Restart,11,No,
1,1,ENG,ARG,PK,8,Yes,PEN: bc not releasing; PK: tap
1,2,ARG,ENG,Restart,11,Yes,
1,2,ARG,ENG,PK,11,Yes,PEN: collapsing ruck; PK: touch kick 
1,2,ARG,ENG,Line out,13,Yes,
1,2,ARG,ENG,Restart,10,No,
1,2,ENG,ARG,Restart,12,No,
1,2,ARG,ENG,PK,11,Yes,PEN: bc not releasing; PK: tap
1,2,ARG,ENG,Restart,13,No,
1,2,ENG,ARG,Restart,12,No,
1,2,ARG,ENG,PK,8,No,PEN: hands in ruck; PK: touch kick
2,1,CAN,USA,Restart,11,No,
2,1,USA,CAN,PK,4,Yes,PEN: tackler not rolling away; PK: tap
2,1,CAN,USA,Scrum,8,Yes,
2,1,USA,CAN,Scrum,3,Yes,
2,1,CAN,USA,PK,8,Yes,PEN: bc not releasing; PK: tap
2,1,USA,CAN,PK,7,Yes,PEN: bc not releasing; PK: tap
2,1,USA,CAN,Restart,13,No,
2,1,CAN,USA,PK,6,Yes,PEN: bc not releasing; PK: touch kick
2,1,CAN,USA,Line out,12,Yes,
2,1,CAN,USA,PK,12,Yes,PEN: illegal ctc with receiver; PK: tap
2,2,USA,CAN,Restart,10,Yes,
2,2,USA,CAN,Restart,10,Yes,
2,2,CAN,USA,Line out,9,Yes,
2,2,USA,CAN,PK,1,Yes,PEN: hands in ruck; PK: tap
2,2,CAN,USA,PK,14,Yes,PEN: bc not releasing; PK: tap
2,2,CAN,USA,Restart,10,Yes,
2,2,CAN,USA,Restart,11,No,
2,2,USA,CAN,Scrum,8,Yes,
3,1,FRA,NZL,Restart,10,Yes,
3,1,FRA,NZL,Scrum,10,Yes,
3,1,NZL,FRA,Scrum,5,Yes,
3,1,NZL,FRA,PK,10,Yes,PEN: off side; PK: tap
3,1,NZL,FRA,Restart,12,No,
3,1,FRA,NZL,PK,10,Yes,PEN: bc not releasing; PK: tap
3,1,FRA,NZL,PK,12,Yes,PEN: side entry; PK: tap
3,1,FRA,NZL,PK,11,Yes,PEN: side entry; PK: touch kick
3,1,FRA,NZL,Line out,13,Yes,
3,1,NZL,FRA,PK,2,Yes,PEN: bc not releasing; PK: tap
3,1,NZL,FRA,Restart,13,No,
3,1,NZL,FRA,PK,14,Yes,PEN: bc not releasing; PK:quick tap
3,2,NZL,FRA,Restart,10,No,
3,2,FRA,NZL,Restart,7,No,Restart not 10
3,2,NZL,FRA,FK,8,Yes,FK: restart not 10
3,2,FRA,NZL,PK,3,Yes,PEN: side entry; PK: tap
3,2,NZL,FRA,PK,14,Yes,PEN: bc not releasing; PK: tap
3,2,NZL,FRA,Restart,10,No,
3,2,NZL,FRA,PK,11,Yes,PEN: bc not releasing; PK:quick tap
3,2,NZL,FRA,Restart,11,No,
3,2,NZL,FRA,Scrum,11,Yes,
4,1,SAM,JPN,Restart,10,No,
4,1,JPN,SAM,PK,11,Yes,PEN: off side; PK: tap
4,1,JPN,SAM,Restart,10,No,
4,1,JPN,SAM,Scrum,11,Yes,Scrum: knock on
4,1,SAM,JPN,Restart,11,No,
4,1,JPN,SAM,Scrum,5,Yes,Scrum: knock on
4,1,SAM,JPN,PK,14,Yes,PEN: diving over; PK: tap
4,1,SAM,JPN,Restart,11,No,
4,1,SAM,JPN,Scrum,8,Yes,Scrum: knock on
4,2,JPN,SAM,Restart,10,Yes,
4,2,SAM,JPN,PK,5,Yes,PEN: bc not releasing; PK: tap
4,2,SAM,JPN,Restart,10,No,
4,2,SAM,JPN,Restart,11,No,
4,2,JPN,SAM,PK,6,Yes,PEN: bc not releasing; PK: tap
4,2,JPN,SAM,Scrum,9,Yes,Scrum: knock on
4,2,JPN,SAM,FK,9,Yes,FK: scrum infraction
4,2,SAM,JPN,Restart,10,No,
4,2,JPN,SAM,PK,2,Yes,PEN: bc not releasing; PK: tap
5,1,WAL,RSA,Restart,9,No,Restart: not 10 but played
5,1,RSA,WAL,Line out,3,Yes,
5,1,WAL,RSA,Line out,7,Yes,
5,1,RSA,WAL,PK,12,Yes,PEN: side entry; PK: touch kick
5,1,RSA,WAL,Line out,15,No,Line out: not straight
5,1,WAL,RSA,Scrum,3,Yes,
5,1,RSA,WAL,PK,13,Yes,PEN: off side; PK: tap
5,1,RSA,WAL,PT,14,,PT: intentional knock in goal
5,1,RSA,WAL,Restart,15,No,
5,1,RSA,WAL,Scrum,4,Yes,Scrum: knock on
5,2,RSA,WAL,Restart,14,No,
5,2,WAL,RSA,PK,5,Yes,PEN: off side; PK: tap
5,2,WAL,RSA,Restart,10,No,
5,2,RSA,WAL,PK,6,Yes,PEN: tackler not rolling away; PK:kick to touch
5,2,RSA,WAL,Line out,12,Yes,
5,2,RSA,WAL,Restart,9,No,Restart not 10
5,2,WAL,RSA,FK,8,Yes,FK: restart not 10
5,2,WAL,RSA,Restart,12,No,
5,2,WAL,RSA,PK,12,Yes,PEN: bc not releasing; PK: tap
5,2,RSA,WAL,PK,1,Yes,PEN: bc not releasing; PK: touch kick
5,2,RSA,WAL,Line out,4,Yes,
6,1,ASM,KEN,Restart,10,No,
6,1,KEN,ASM,Scrum,5,Yes,
6,1,KEN,ASM,Restart,11,No,
6,1,KEN,ASM,PK,11,Yes,PEN: off side; PK: tap
6,1,KEN,ASM,Scrum,14,Yes,Scrum: knock on
6,1,KEN,ASM,Line out,6,Yes,Line out: quick
6,1,KEN,ASM,Restart,10,Yes,
6,1,ASM,KEN,Line out,3,No,
6,1,KEN,ASM,Restart,10,Yes,
6,1,ASM,SAM,PK,7,Yes,PEN: diving over; PK: tap
6,2,KEN,ASM,Restart,10,No,
6,2,ASM,KEN,PK,1,Yes,PEN: side entry; PK: tap
6,2,ASM,KEN,Scrum,7,Yes,
